mc_experiments;mc_stats;mc_surveys;mc_hidden;mc_qrp;trust1;trust2;trust3;trust4;trust5;gender;gender_3_TEXT;age;english;english_native;race;CON
7;6;7;6;7;6;6;6;6;6;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;NA;NA;3;4;6;1;1;2;Deleted to protect anonymity;68;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;2;7;4;4;4;4;5;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;7;1;5;3;4;3;3;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;2;1;7;7;1;1;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
5;4;6;5;6;4;3;5;4;6;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;6;NA;NA;2;6;5;2;2;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;6;2;4;6;4;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;7;NA;NA;2;5;6;1;1;2;Deleted to protect anonymity;57;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
4;3;5;4;4;2;5;5;2;1;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;1;1;6;6;1;1;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;4;4;4;4;4;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;4;3;NA;NA;5;3;5;5;5;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;2;5;6;1;1;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;1;5;6;2;2;2;Deleted to protect anonymity;42;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;1;7;2;4;4;5;5;2;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;2;7;3;5;5;4;3;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;4;5;7;7;7;7;7;2;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
5;1;7;7;1;3;5;5;4;2;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;7;6;NA;NA;6;7;6;6;7;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;3;6;NA;NA;1;6;6;1;1;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;5;3;3;5;5;2;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;7;7;6;5;6;5;7;6;6;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
5;2;7;4;5;2;5;5;2;2;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;2;2;NA;NA;2;6;6;3;3;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
4;5;6;5;5;5;6;5;5;6;2;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;7;6;7;6;6;7;6;6;6;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
4;5;5;4;4;5;6;5;5;6;2;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;4;7;NA;NA;4;7;7;1;4;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;6;1;2;4;6;2;Deleted to protect anonymity;57;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;4;5;3;3;6;4;4;6;5;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;2;6;2;6;1;1;1;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;4;4;3;5;5;2;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;2;7;7;1;4;3;4;4;4;2;Deleted to protect anonymity;53;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;2;7;NA;NA;1;7;7;2;1;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;7;NA;NA;3;5;6;2;2;1;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;2;7;5;7;2;5;5;5;3;2;Deleted to protect anonymity;51;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;2;7;2;7;2;5;5;2;3;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;NA;NA;2;6;6;2;1;2;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;2;6;6;4;4;2;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;3;7;7;1;2;6;6;2;1;1;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;3;6;2;7;3;5;6;3;3;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
5;6;5;6;5;6;5;5;6;5;2;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;4;4;4;4;4;2;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
2;4;4;5;6;3;5;3;4;4;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;NA;NA;5;4;4;4;4;1;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;3;5;6;5;2;6;5;5;3;1;Deleted to protect anonymity;20;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;1;2;4;5;2;3;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;2;7;5;3;3;5;4;3;3;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
4;5;4;5;4;3;4;3;4;5;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
5;6;5;NA;NA;6;5;5;6;6;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
3;3;4;3;5;3;3;4;4;5;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;4;5;NA;NA;4;4;5;4;5;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;1;7;6;6;5;4;4;6;6;2;Deleted to protect anonymity;56;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;6;6;NA;NA;6;6;6;7;6;2;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;1;6;5;3;3;4;5;3;5;2;Deleted to protect anonymity;47;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
5;2;6;7;2;2;5;5;2;2;1;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;2;7;7;7;1;1;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;2;6;NA;NA;3;5;6;2;5;2;Deleted to protect anonymity;56;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;1;1;4;5;2;2;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;6;4;5;4;2;3;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;3;7;3;5;5;2;2;2;Deleted to protect anonymity;48;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;5;4;2;6;6;2;2;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;3;7;3;6;5;3;6;3;5;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;4;4;5;3;4;3;5;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;5;6;5;5;6;5;5;6;5;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;2;7;6;2;1;2;Deleted to protect anonymity;46;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;1;7;7;2;1;1;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;5;6;6;7;3;4;6;6;5;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;2;3;6;6;2;2;2;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;7;5;6;7;6;5;4;6;5;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;2;6;5;4;2;5;6;2;3;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;1;7;NA;NA;3;4;6;2;3;1;Deleted to protect anonymity;50;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;4;5;4;4;5;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;2;7;5;5;4;4;4;4;5;2;Deleted to protect anonymity;58;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;2;7;NA;NA;2;5;5;2;3;1;Deleted to protect anonymity;45;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;1;7;6;2;5;5;4;4;1;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
4;3;4;3;4;3;5;5;3;3;2;Deleted to protect anonymity;49;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;NA;NA;4;5;6;4;3;2;Deleted to protect anonymity;67;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;4;7;NA;NA;5;4;4;4;5;1;Deleted to protect anonymity;68;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;1;5;2;3;5;5;1;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;2;7;6;4;1;6;6;1;2;1;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;7;5;3;5;5;2;2;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;4;6;6;3;4;5;5;3;3;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;5;5;3;4;3;5;5;1;Deleted to protect anonymity;62;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;4;5;5;4;3;5;6;2;Deleted to protect anonymity;53;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
4;3;5;5;4;4;5;4;3;6;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;4;6;1;5;6;2;3;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;NA;NA;4;4;4;4;4;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;2;5;7;2;1;5;5;2;1;2;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;5;3;4;3;6;1;Deleted to protect anonymity;52;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;7;7;6;7;7;7;7;6;7;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;2;7;3;6;2;5;5;4;3;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;1;7;1;5;5;2;1;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;6;NA;NA;1;6;6;2;1;2;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;4;6;6;4;5;3;5;2;Deleted to protect anonymity;55;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;1;7;2;1;6;7;1;1;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;6;5;3;4;5;2;3;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;2;7;5;2;2;6;6;2;1;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;7;1;1;5;6;1;1;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;1;7;6;2;2;6;6;1;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;7;6;7;6;6;7;6;7;6;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;6;2;4;4;2;3;4;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
5;6;7;6;5;5;6;7;5;6;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;6;6;2;2;5;3;5;5;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;4;3;5;4;4;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;1;7;3;6;6;3;3;2;Deleted to protect anonymity;67;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;1;7;4;4;3;5;6;1;3;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;1;7;7;1;1;2;Deleted to protect anonymity;56;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;2;6;5;2;2;5;6;2;2;2;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;6;4;5;6;6;1;Deleted to protect anonymity;64;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;7;7;1;1;7;7;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;7;1;3;5;5;4;4;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;1;1;7;1;5;6;1;1;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;2;6;6;6;5;2;3;6;6;2;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;1;7;4;2;3;4;4;4;3;1;Deleted to protect anonymity;55;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;1;2;5;5;2;1;2;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;2;7;7;2;3;5;6;3;3;1;Deleted to protect anonymity;49;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;4;NA;NA;1;7;6;3;4;1;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;6;5;4;5;5;6;5;5;5;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;7;2;1;4;5;3;2;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
5;3;3;7;1;5;4;3;4;3;2;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;1;7;2;6;6;2;2;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;7;5;NA;NA;6;6;7;6;7;1;Deleted to protect anonymity;69;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;2;7;3;5;5;4;3;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;NA;NA;2;5;5;4;4;1;Deleted to protect anonymity;21;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;1;5;3;4;2;5;5;2;2;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;7;5;6;5;5;6;7;5;6;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;2;6;5;2;2;6;6;2;3;1;Deleted to protect anonymity;44;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
4;5;4;4;5;5;4;5;4;5;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;7;7;NA;NA;7;6;7;7;6;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;1;3;7;4;2;5;6;2;2;2;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;3;7;4;4;4;4;4;2;Deleted to protect anonymity;63;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
5;3;5;NA;NA;2;5;5;2;1;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;2;7;7;2;2;5;5;2;3;1;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
6;3;6;NA;NA;5;3;6;3;3;2;Deleted to protect anonymity;59;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;3;3;NA;NA;5;6;5;6;3;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;1;7;4;4;4;4;6;2;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;1;7;NA;NA;1;6;7;3;2;2;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;2;6;5;2;2;2;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;6;NA;NA;3;4;4;5;2;2;Deleted to protect anonymity;49;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;6;6;2;6;6;4;2;1;Deleted to protect anonymity;52;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;NA;NA;6;2;1;6;7;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;5;4;6;4;4;4;6;4;2;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;7;1;3;5;5;2;2;2;Deleted to protect anonymity;57;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;NA;NA;3;1;5;7;5;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;3;5;NA;NA;5;3;5;5;6;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;6;4;NA;NA;5;7;4;7;5;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;7;6;6;6;4;3;2;Deleted to protect anonymity;18;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;5;5;6;4;5;4;6;5;6;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;5;6;5;5;6;5;5;5;5;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;7;7;6;2;6;7;7;2;Deleted to protect anonymity;55;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
5;6;5;NA;NA;5;3;5;5;4;1;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;5;6;NA;NA;5;4;6;6;5;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;5;7;6;7;5;6;5;6;7;2;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
5;3;2;5;2;2;5;5;2;2;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
4;2;7;3;7;1;6;6;2;2;1;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;5;6;6;7;5;3;5;5;5;2;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;7;6;7;6;6;7;6;7;6;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
5;3;4;3;3;2;5;5;5;3;2;Deleted to protect anonymity;42;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
