mc_experiments;mc_stats;Q49;mc_rpp2;mc_replicable2;trust1;trust2;trust3;trust4;trust5;gender;gender_3_TEXT;age;english;english_native;race;CON
4;4;NA;4;4;4;4;4;4;4;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
5;6;NA;7;6;5;6;7;6;7;1;Deleted to protect anonymity;21;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
5;5;NA;4;5;4;3;4;3;6;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESHIGH
7;6;NA;6;7;6;7;6;5;6;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
7;1;7;NA;NA;3;6;4;2;5;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;1;7;7;3;5;2;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;7;7;NA;NA;1;7;7;4;4;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;NA;5;3;2;5;5;3;4;2;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
7;1;7;NA;NA;7;2;1;7;7;1;Deleted to protect anonymity;54;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;2;4;6;2;4;2;Deleted to protect anonymity;68;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;2;NA;5;7;2;6;6;2;2;1;Deleted to protect anonymity;53;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESHIGH
7;6;NA;5;6;6;6;7;6;7;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
5;1;6;NA;NA;1;6;5;6;1;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;NA;7;2;1;7;7;1;2;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
7;1;NA;7;7;2;4;3;5;4;2;Deleted to protect anonymity;36;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESHIGH
7;1;6;NA;NA;3;5;4;3;5;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;NA;7;4;3;5;5;4;4;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
6;7;NA;6;7;6;7;6;7;6;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
7;1;NA;7;7;1;5;5;1;3;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
6;5;6;NA;NA;6;5;6;5;7;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
