"";"mc_experiments";"mc_stats";"mc_rpp";"mc_replicable";"mc_trans";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust"
"125";6;2;7;5;3;5;5;4;4;5;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4,6
"126";7;1;6;4;5;7;4;5;6;4;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,2
"127";7;6;6;6;6;1;6;6;2;2;1;35;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";3,4
"128";7;1;1;1;7;1;3;4;4;1;2;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";2,6
"129";3;2;7;4;5;4;7;4;2;3;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4
"130";5;2;6;5;5;2;5;5;4;5;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,2
"131";7;1;7;5;5;6;5;4;3;3;2;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,2
"132";7;1;7;7;1;1;7;7;7;1;2;46;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,6
"133";7;1;7;7;5;4;5;5;6;2;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4,4
"134";7;1;7;2;2;3;4;3;3;3;2;40;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,2
"135";7;3;7;2;2;5;4;4;5;5;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,6
"136";6;4;6;6;4;3;5;5;5;5;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,6
"137";7;1;7;1;1;7;1;7;1;4;2;38;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4
"138";5;6;5;6;5;3;6;6;3;2;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4
"139";5;3;6;5;4;3;3;4;3;3;2;54;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,2
"140";7;1;7;7;7;7;7;7;1;1;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,6
"141";7;1;7;7;4;7;6;7;7;7;2;52;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,8
"142";7;2;7;6;2;7;6;7;7;7;2;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,8
"143";7;1;7;7;7;6;6;6;6;6;2;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";6
"144";4;3;5;4;5;3;4;5;5;2;2;20;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,8
"145";7;1;5;5;7;5;5;5;4;4;1;36;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,6
"146";7;1;7;3;3;7;5;4;6;7;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";5,8
"147";5;4;4;5;4;4;5;4;5;3;2;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4,2
"148";7;1;5;5;5;2;5;4;5;3;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";3,8
