"";"mc_experiments";"mc_stats";"mc_rpp";"mc_rpp2";"mc_replicable2";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust";"mcfailure"
"145";7;1;1;NA;NA;7;7;5;7;4;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6;1
"146";5;6;5;NA;NA;3;5;6;4;3;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,2;1
"147";7;1;NA;7;7;7;7;7;6;7;2;21;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";6,8;0
"148";7;1;NA;3;3;5;3;3;3;3;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,4;1
"149";7;1;NA;7;1;3;3;2;2;2;2;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";2,4;0
"150";6;6;7;NA;NA;2;7;6;2;2;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,8;1
"151";7;1;NA;7;5;7;6;7;3;7;2;35;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";6;0
"152";7;1;NA;7;7;7;7;7;7;7;2;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";7;0
"153";5;3;NA;5;5;4;5;3;4;3;2;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,8;0
"154";6;7;6;NA;NA;5;7;7;4;4;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,4;1
"155";7;1;NA;7;6;5;5;5;5;4;1;26;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";4,8;0
"156";6;2;NA;6;6;6;6;6;6;6;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";6;0
"157";7;2;7;NA;NA;1;6;6;3;4;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4;0
