"";"mc_experiments";"mc_stats";"mc_rpp";"mc_hidden";"mc_qrp";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust"
"152";6;3;3;NA;NA;3;6;5;2;5;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,2
"153";7;1;7;1;7;4;4;4;4;2;2;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"154";6;1;7;NA;NA;7;6;7;5;6;2;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,2
"155";7;1;7;NA;NA;6;6;5;6;6;2;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,8
"156";6;2;6;NA;NA;5;4;4;3;6;2;49;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,4
"157";7;1;7;6;6;6;6;6;4;6;1;52;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";5,6
"158";7;1;7;NA;NA;2;2;1;2;1;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";1,6
"159";7;1;5;4;6;4;4;4;2;4;2;40;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"160";7;1;7;7;1;5;5;5;6;6;2;57;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";5,4
"161";7;1;7;NA;NA;5;1;5;1;3;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3
"162";5;3;5;NA;NA;3;3;5;3;2;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,2
"164";7;1;7;7;7;2;6;6;4;5;2;18;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";4,6
"165";6;5;5;6;4;3;4;6;3;2;2;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"166";6;5;6;5;5;2;5;5;3;3;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";3,6
"167";7;1;7;7;7;2;2;6;1;1;2;55;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";2,4
"168";5;6;5;NA;NA;3;3;5;3;4;1;22;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,6
"169";5;5;6;NA;NA;3;4;6;2;3;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,6
"170";6;5;7;6;7;3;6;5;2;1;2;23;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";3,4
"171";5;3;2;5;2;6;5;5;6;6;2;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";5,6
"172";4;2;7;3;7;7;6;6;6;6;1;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";6,2
"173";7;5;6;6;7;3;3;5;3;3;2;43;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,4
"174";6;7;6;7;6;2;7;6;1;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"175";5;3;4;3;3;6;5;5;3;5;2;42;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";4,8
"176";7;2;7;2;2;5;4;4;4;4;2;59;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";4,2
"177";7;1;7;NA;NA;4;5;5;5;5;3;26;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,8
"178";6;6;7;6;6;1;6;7;1;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";3,4
"179";7;1;7;5;5;4;3;3;5;5;2;47;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";4
